CMMS #,Fixed Asset #,Description,Location,Owner Group,Parent,Rotating Item,Site
06022,5616,SOLDER ROBOT MACHINE (A),EL2-SHIPPING,PE3,,,SUS
06025,5645,PCB ROUTER MACHINE,EL2F26,PE3,,,SUS
07008,6008E,XSI04 BALANCE,EL2-QC,PE3,,,SUS
07009,6009E,VHX-500 DIGITAL MICROSCOPE,EL2REPAIR,PE3,,,SUS
07041,6086E,TR-9-2000 ICT MACHINE,EL2SBO-1,PE3,,,SUS
07047,6107E,DESTACKER CONVEYOR MACHINE,EL2C4,PE3,,,SUS
07063,0,500MM LINK CONVEYOR MACHINE,EL2C7,PE3,,,SUS
07064,0,500MM LINK CONVEYOR MACHINE,EL2F19,PE3,,,SUS
11203,7227E,CONVEYOR LINE LOADER MACHINE,EL2C5,PE3,,,SUS
11316,0,SOLDER ROBOT MACHINE,PE3 LAB,PE3,,,SUS
11506,7447,CONNECTOR SCREW MACHINE,EL2F19,PE3,,,SUS
13045,0,SOLDER ROBOT MACHINE,PE3 LAB,PE3,,,SUS
13053,,DUST COLLECTOR MACHINE,EL2F12,PE3,,,SUS
13058,,PCB ROUTER MACHINE,EL2F25,PE3,,,SUS
13067,,DUST COLLECTOR MACHINE,EL2F25,PE3,,,SUS
13069,,PCB ROUTER MACHINE,EL2F17,PE3,,,SUS
13078,,DUST COLLECTOR MACHINE,EL2F17,PE3,,,SUS
13098,0,LINE LOADER CONVEYOR MACHINE,EL2C2,PE3,,,SUS
13111,,CONVEYOR MACHINE,EL2C4,PE3,,,SUS
13113,,CONVEYOR MACHINE,EL2C4,PE3,,,SUS
13115,,CONVEYOR MACHINE,EL2C4,PE3,,,SUS
13117,,SEALANT CURE MACHINE,EL2F19,PE3,,,SUS
13123,206018,AOI MACHINE,EL2F19,PE3,,,SUS
13128,,DUST COLLECTOR MACHINE,EL2F27,PE3,,,SUS
13131,,PCB ROUTER MACHINE,EL2F4,PE3,,,SUS
13138,,HCU VISION  INSPECTION MACHINE,EL2F17,PE3,,,SUS
13139,0,DUST COLLECTOR MACHINE,EL2F4,PE3,,,SUS
13140,,DUST COLLECTOR MACHINE,EL2F33,PE3,,,SUS
13147,13789,500MM LINK CONVEYOR MACHINE,EL2C7,PE3,,,SUS
13150,14536,HCU FINAL FUNCTION MACHINE,EL2F17,PE3,,,SUS
13151,,SEALANT CURE OVEN MACHINE,EL2F7,PE3,,,SUS
13159,,DUST COLLECTOR MACHINE,EL2F19,PE3,,,SUS
13161,14538,DUST COLLECTOR MACHINE,EL2F18,PE3,,,SUS
13162,,SOLDER ROBOT MACHINE,PE3 LAB,PE3,,,SUS
13169,,DUST COLLECTOR MACHINE,EL2F11,PE3,,,SUS
13188,,PCB ROUTER MACHINE,PE3 LAB,PE3,,,SUS
13191,,DUST COLLECTOR MACHINE,EL2F26,PE3,,,SUS
13193,,500MM LINK CONVEYOR MACHINE,EL2C2,PE3,,,SUS
13194,209718,BOARD CLEANER MACHINE,EL2C7,PE3,,,SUS
13197,,500MM LINK CONVEYOR MACHINE,EL2C2,PE3,,,SUS
13199,,500MM LINK CONVEYOR MACHINE,EL2C2,PE3,,,SUS
13203,,500MM LINK CONVEYOR MACHINE,EL2C2,PE3,,,SUS
13205,,500MM LINK CONVEYOR MACHINE,EL2C2,PE3,,,SUS
13207,,AOI NG STOCKER CONVEYOR MACHINE,EL2C2,PE3,,,SUS
13208,,AOI NG TRAVERSE CONVEYOR MACHINE,EL2C2,PE3,,,SUS
13212,209719,BOARD CLEANER MACHINE,EL2C4,PE3,,,SUS
13214,,CONVEYOR MACHINE,EL2C4,PE3,,,SUS
13222,,CONVEYOR MACHINE,EL2C4,PE3,,,SUS
13223,,PC BOARD HANDLERS CONVEYOR MACHINE,EL2C7,PE3,,,SUS
13225,,STOCKER (TRAVELERS) PC BOARD HANDLERS MACHINE,EL2C4,PE3,,,SUS
13226,,STOCKER PC BOARD HANDLERS CONVEYOR MACHINE,EL2C4,PE3,,,SUS
13229,0,CONVEYOR MACHINE,EL2C7,PE3,,,SUS
13231,,BOARD CLEANER MACHINE,EL2C7,PE3,,,SUS
13234,,CONVEYOR MACHINE,EL2C7,PE3,,,SUS
13236,,CONVEYOR MACHINE,EL2C7,PE3,,,SUS
13238,,CONVEYOR MACHINE,EL2C7,PE3,,,SUS
13240,,CONVEYOR MACHINE,EL2C7,PE3,,,SUS
13242,,CONVEYOR MACHINE,EL2C7,PE3,,,SUS
13243,,CONVEYOR MACHINE,EL2C4,PE3,,,SUS
13244,,CONVEYOR MACHINE,EL2C7,PE3,,,SUS
13246,,STOCKER MACHINE,EL2C7,PE3,,,SUS
13247,,STOCKER PC BOARD HANDLER CONVEYOR MACHINE,EL2C7,PE3,,,SUS
13248,,UNLOADER PC BOARD HANDLER MACHINE,EL2C7,PE3,,,SUS
13251,,BOARD CLEANER MACHINE,EL2C5,PE3,,,SUS
13258,,CONVEYOR MACHINE,EL2C5,PE3,,,SUS
13262,,CONVEYOR MACHINE,EL2C5,PE3,,,SUS
13263,,CONVEYOR MACHINE,EL2C5,PE3,,,SUS
13264,12359,CONVEYOR MACHINE,EL2C5,PE3,,,SUS
13266,,STOCKER (TRAVELERS) MACHINE,EL2C5,PE3,,,SUS
13267,,STOCKER CONVEYOR MACHINE,EL2C5,PE3,,,SUS
13272,,BOARD CLEANER MACHINE,EL2C6,PE3,,,SUS
13284,,CONVEYOR MACHINE,EL2C6,PE3,,,SUS
13286,,CONVEYOR MACHINE,EL2C6,PE3,,,SUS
13288,,STOCKER (TRAVELERS) MACHINE,EL2C6,PE3,,,SUS
13289,,STOCKER PC BOARD HANDLERS CONVEYOR MACHINE,EL2C6,PE3,,,SUS
13297,9013,DUST COLLECTOR MACHINE,EL2F14,PE3,,,SUS
13298,204249/207452,PCB ROUTER MACHINE,EL2F14,PE3,,,SUS
13300,9019,SOLDER ROBOT MACHINE,PE3 LAB,PE3,,,SUS
13302,0,SEALANT MACHINE,EL2F14,PE3,,,SUS
13314,0,DEIONIZED AIR CANNON #1,PE3-MAINT,PE3,,,SUS
13386,,AIR SHOWER #1,F-E09,PE3,,,SUS
13387,,AIR SHOWER #2,F-E09,PE3,,,SUS
13388,,AIR SHOWER #3,F-E09,PE3,,,SUS
13389,,AIR SHOWER #4,F-E09,PE3,,,SUS
13429,8419E,ESD SMARTLOGGER V5 AIR SHOWER #1,F-E09,PE3,,,SUS
13430,8419E,ESD SMARTLOGGER V5 AIR SHOWER #2,F-E09,PE3,,,SUS
13431,8419E,ESD SMARTLOGGER V5 AIR SHOWER #3,F-E09,PE3,,,SUS
13432,8419E,ESD SMARTLOGGER V5 AIR SHOWER #4,F-E09,PE3,,,SUS
14574,204605/207857,SOLDER ROBOT MACHINE 1,PE3-MAINT,PE3,,,SUS
14575,204605/207858,SOLDER ROBOT MACHINE 2,EL2F25,PE3,,,SUS
14767,204818,ICT MACHINE,EL2F28,PE3,,,SUS
14768,204818,ICT MACHINE,EL2F10,PE3,,,SUS
14771,0,TBAA LID PWB ROUTER FIXTURE 1 RH,EL2F28,PE3,,,SUS
14772,0,TBAA LID PWB ROUTER FIXTURE 2 RH,EL2F28,PE3,,,SUS
14775,0,TBAA RC PWB SOLDER FIXTURE LH,PE3 LAB,PE3,,,SUS
14776,0,TBAA RC PWB SOLDER FIXTURE RH,PE3 LAB,PE3,,,SUS
14781,205020,PCB ROUTER MACHINE,EL2F10,PE3,,,SUS
14940,205019,LASER MARKER MACHINE,EL2C11,PE3,,,SUS
14941,204688/208977,REFLOW OVEN MACHINE,EL2C2,PE3,,,SUS
14942,204688/208977,REFLOW OVEN MACHINE,EL2C6,PE3,,,SUS
14943,0,LOADER CONVEYOR MACHINE,EL2C6,PE3,,,SUS
14944,0,INVERTER CONVEYOR MACHINE,EL2C6,PE3,,,SUS
14945,204585,BUFFER CONVEYOR MACHINE,EL2C6,PE3,,,SUS
14946,204671,PLACEMENT (CM602-2 8/3) MACHINE,EL2C2,PE3,,,SUS
14947,0,LOADER CONVEYOR MACHINE,EL2C5,PE3,,,SUS
14948,0,LOADER CONVEYOR MACHINE,EL2C4,PE3,,,SUS
14949,0,UNLOADER CONVEYOR MACHINE,EL2C4,PE3,,,SUS
14950,0,LINE UNLOADER CONVEYOR MACHINE,EL2C2,PE3,,,SUS
14951,204585,BUFFER CONVEYOR MACHINE,EL2C2,PE3,,,SUS
14952,0,PLACEMENT (CM602-1 12/8) MACHINE,EL2C2,PE3,,,SUS
14953,205172,PANASONIC MOUNTER CM602 MACHINE,EL2C4,PE3,,,SUS
14954,205037,PANASONIC MOUNTER CM602 MACHINE,EL2C4,PE3,,,SUS
15016,205174/205033,INLINE ICT MACHINE,EL2F19,PE3,,,SUS
15046,205049,REFLOW OVEN MACHINE,EL2C4,PE3,,,SUS
15094,204819,AOI MACHINE,EL2F31,PE3,,,SUS
15095,204819,AOI MACHINE,EL2F25,PE3,,,SUS
15096,204752,AOI MACHINE,EL2F30,PE3,,,SUS
15097,204752,AOI MACHINE,EL2F6,PE3,,,SUS
15209,205207/209304,PASTE PRINTER MACHINE,EL2C5,PE3,,,SUS
15210,205176/209305,PASTE PRINTER MACHINE,EL2C7,PE3,,,SUS
15395,0,HAND HELD LASER PARTICAL COUNTER,F BUILDING,PE3,,,SUS
15406,205171,ICT MACHINE,EL2F29,PE3,,,SUS
15411,205170,PCB ROUTER MACHINE,EL2F29,PE3,,,SUS
15412,204838/205153,SOLDER ROBOT MACHINE #1,EL2F28,PE3,,,SUS
15413,204838/205153,SOLDER ROBOT MACHINE #2,EL2F28,PE3,,,SUS
15414,205029,DUST COLLECTOR MACHINE,EL2F29,PE3,,,SUS
15417,205031,AOI MACHINE,PE3 LAB,PE3,,,SUS
15584,9999E,DESTACKER CONVEYOR MACHINE,EL2C6,PE3,,,SUS
15585,9999E,DESTACKER CONVEYOR MACHINE,EL2C5,PE3,,,SUS
15587,205038,LASER MARKER MACHINE,EL2C7,PE3,,,SUS
15588,205038,LASER MARKER MACHINE,EL2C6,PE3,,,SUS
15589,205218,SOLDER PASTE INSPECTION MACHINE,EL2C6,PE3,,,SUS
15590,205218,SOLDER PASTE INSPECTION MACHINE,EL2C5,PE3,,,SUS
15591,205218,SOLDER PASTE INSPECTION MACHINE,EL2C7,PE3,,,SUS
15592,205217/209303,PASTE PRINTER MACHINE,EL2C4,PE3,,,SUS
15593,205287,NPM PLACEMENT5 (8/3) MACHINE,EL2C6,PE3,,,SUS
15594,205288,NPM PLACEMENT 2 (16/12) MACHINE,EL2C6,PE3,,,SUS
15601,0,TLAA HS CPU AOI FIXTURE,EL2F19,PE3,,,SUS
15602,0,TLAA HS CPU BARCODE SCAN FIXTURE,EL2F19,PE3,,,SUS
15603,10184E,HS FINAL FUNCTION MACHINE 3,EL2F19,PE3,,,SUS
15604,10184E,HS FINAL FUNCTION MACHINE 2,EL2F19,PE3,,,SUS
15606,0,TLAA HS CPU SOLDER FIXTURE 5,EL2F19,PE3,,,SUS
15608,0,TLAA HS CPU CHECKER BOX  DEVICE 3,PE3 LAB,PE3,,,SUS
15609,0,TLAA HS CPU CHECKER BOX DEVICE 2,EL2F25,PE3,,,SUS
15610,0,TLAA HS CPU CHECKER BOX DEVICE 1,EL2F25,PE3,,,SUS
15612,10184E,IN CIRCUIT TEST MACHINE,PE3 LAB,PE3,,,SUS
15613,0,TLAA HS CPU ROUTER FIXTURE,PE3 LAB,PE3,,,SUS
15614,0,TLAA HS CPU CONNECTOR SCREW FIXTURE,EL2F19,PE3,,,SUS
15615,206016,INLINE SEALANT MACHINE,EL2F19,PE3,,,SUS
15616,0,TLAA HS CPU SOLDER FIXTURE 6,EL2F19,PE3,,,SUS
15617,0,TLAA HS CPU ICT FIXTURE (SPARE),PE3 LAB,PE3,,,SUS
15618,0,TLAA HS CPU SOLDER FIXTURE 1,EL2F19,PE3,,,SUS
15619,0,TLAA HS CPU SOLDER FIXTURE 2,EL2F19,PE3,,,SUS
15620,0,TLAA HS CPU SOLDER FIXTURE 3,EL2F19,PE3,,,SUS
15621,205712,SOLDER ROBOT MACHINE #1,EL2F19,PE3,,,SUS
15622,205712,SOLDER ROBOT MACHINE #2,EL2F19,PE3,,,SUS
15623,205712,SOLDER ROBOT MACHINE #3,EL2F19,PE3,,,SUS
15629,0,CURE CONVEYOR MACHINE,EL2REPAIR,PE3,,,SUS
15638,0,SEALANT MACHINE,EL2F17,PE3,,,SUS
15639,0,HEPA DUST COLLECTION SYSTEM FOR LCD SETTING MACHINE,EL2F17,PE3,,,SUS
15640,0,THRA RR PANEL FINAL FUNCTION FIXTURE,EL2F17,PE3,,,SUS
15641,0,HCU FINAL FUNCTION MACHINE,EL2F17,PE3,,,SUS
15642,0,THRA RR PANEL VISION TEST FIXTURE,EL2F17,PE3,,,SUS
15643,0,HCU VISION TEST MACHINE,EL2F17,PE3,,,SUS
15644,0,THRA RR PANEL HAND ASSY FIXTURE,EL2F17,PE3,,,SUS
15645,0,THRA RR PANEL CASE SCREW FIXTURE,EL2F17,PE3,,,SUS
15646,206007,CASE SCREW ROBOT MACHINE,EL2F17,PE3,,,SUS
15647,0,THRA RR PANEL SEALANT FIXTURE,EL2F17,PE3,,,SUS
15648,0,SEALANT MACHINE,EL2F17,PE3,,,SUS
15649,0,THRA RR PANEL ICT FIXTURE,EL2F17,PE3,,,SUS
15650,0,ICT MACHINE,EL2F17,PE3,,,SUS
15651,0,THRA RR PANEL LCD SETTING FIXTURE,EL2F17,PE3,,,SUS
15801,0,THRA HL CONTROL PWB SEALANT FIXTURE,EL2F8,PE3,,,SUS
15805,0,THRA HL CONTROL PWB FINAL FUNCTION FIXTURE #1,EL2F8,PE3,,,SUS
15806,0,THRA HL CONTROL PWB FINAL FUNCTION FIXTURE #2,EL2F8,PE3,,,SUS
15807,0,THRA HL CONTROL PWB FINAL FUNCTION FIXTURE #3,EL2F8,PE3,,,SUS
15808,206130,ICT MACHINE,EL2F8,PE3,,,SUS
15809,10277E/10255E,SEALANT MACHINE,EL2F8,PE3,,,SUS
15810,205853/10183E,PCB ROUTER MACHINE,EL2F3,PE3,,,SUS
15846,205029,PCB ROUTER MACHINE,EL2F6,PE3,,,SUS
15858,205032,ICT MACHINE,EL2F6,PE3,,,SUS
15859,205713,SOLDER ROBOT MACHINE,EL2F6,PE3,,,SUS
15956,0,DUST COLLECTOR MACHINE,EL2F6,PE3,,,SUS
16019,205284,LASER MARKER MACHINE,PE3 LAB,PE3,,,SUS
16021,205039/209306,PASTE PRINTER MACHINE,EL2C11,PE3,,,SUS
16022,205033,ICT MACHINE,EL2F4,PE3,,,SUS
16023,0,500MM LINK CONVEYOR MACHINE,EL2C2,PE3,,,SUS
16024,205472,NPM PLACEMENT 1 (16/16) MACHINE,EL2C6,PE3,,,SUS
16025,0,DESTACKER CONVEYOR MACHINE,EL2C2,PE3,,,SUS
16026,0,MAGAZINE UNLOADER CONVEYOR MACHINE,EL2C6,PE3,,,SUS
16028,0,PCB UNLOADER MACHINE,EL2-SMT,PE3,,,SUS
16033,0,DUST COLLECTOR MACHINE,PE3 LAB,PE3,,,SUS
16034,0,DUST COLLECTOR MACHINE,EL2F10,PE3,,,SUS
16035,205398,SOLDER PASTE INSPECTION MACHINE,EL2C2,PE3,,,SUS
16036,205398,SOLDER PASTE INSPECTION MACHINE,EL2C4,PE3,,,SUS
16037,205714,AOI MACHINE,EL2F7,PE3,,,SUS
16038,205714,AOI MACHINE,EL2F28,PE3,,,SUS
16039,205486,FEEDER CALIBRATION MACHINE,EL2-SMT,PE3,,,SUS
16094,10335E,T1W FRONT HCU ICT FIXTURE,PE3 LAB,PE3,,,SUS
161029,0,TJBA CPU CHECKER BOX DEVICE 1,EL2F14,PE3,,,SUS
16103,10371E/205776,PASTE PRINTER MACHINE,EL2C9,PE3,,,SUS
161030,0,TJBA CPU CHECKER BOX DEVICE 2,EL2-QA,PE3,,,SUS
161031,0,TJBA CPU CHECKER BOX DEVICE 3,EL2-QA,PE3,,,SUS
16104,10371E/205776,PASTE PRINTER MACHINE,EL2C6,PE3,,,SUS
16105,10371E/205776,PLACEMENT MACHINE,EL2C9,PE3,,,SUS
16106,10371E/205776,PLACEMENT MACHINE,EL2C10,PE3,,,SUS
16107,10371E/205776,REFLOW OVEN MACHINE,EL2C9,PE3,,,SUS
161070,0,TVAA HS CPU CHECKER BOX DEVICE 1,EL2F19,PE3,,,SUS
161071,0,TVAA HS CPU CHECKER BOX DEVICE 2,EL2F19,PE3,,,SUS
161072,0,TVAA HS CPU CHECKER BOX DEVICE 3,EL2F19,PE3,,,SUS
161073,0,TVAA HS CPU CHECKER BOX DEVICE 4,EL2F25,PE3,,,SUS
161074,207363,SOLDER ROBOT MACHINE 3,EL2F25,PE3,,,SUS
161075,0,TVAA HS CPU SOLDER FIXTURE 1,EL2F25,PE3,,,SUS
161076,0,TVAA HS CPU SOLDER FIXTURE 2,EL2F25,PE3,,,SUS
161077,0,TVAA HS CPU SOLDER FIXTURE 3,EL2F25,PE3,,,SUS
161078,0,TVAA HS CPU SOLDER FIXTURE 4,EL2F25,PE3,,,SUS
161079,0,TVAA HS CPU SOLDER FIXTURE 6,PE3 LAB,PE3,,,SUS
16108,10371E/205776,REFLOW OVEN MACHINE,EL2C10,PE3,,,SUS
161080,0,TVAA HS CPU SOLDER FIXTURE 5,PE3 LAB,PE3,,,SUS
161081,10887,ICT MODULE MACHINE,EL2F25,PE3,,,SUS
161084,207242/207242,HS CPU ASSEMBLY CELL MACHINE,EL2F25,PE3,,,SUS
161085,10277E,SEALANT CURE OVEN MACHINE,EL2F8,PE3,,,SUS
16109,205525,OMRON VT-S730 AOI SYSTEM MACHINE,EL2C9,PE3,,,SUS
16110,205525,OMRON VT-S730 AOI SYSTEM MACHINE,EL2C10,PE3,,,SUS
16111,10372E,SOLDER PASTE INSPECTION MACHINE,EL2C9,PE3,,,SUS
16112,10372E,SOLDER PASTE INSPECTION MACHINE,EL2C10,PE3,,,SUS
16113,10373E,LINE LOADER CONVEYOR MACHINE,EL2C9,PE3,,,SUS
161139,0,LIGHTING FINAL FUNCTION MACHINE,EL2F28,PE3,,,SUS
16114,10373E,LINE LOADER CONVEYOR MACHINE,EL2C10,PE3,,,SUS
161140,0,LIGHTING FINAL FUNCTION MACHINE,PE3 LAB,PE3,,,SUS
161141,0,LIGHTING FINAL FUNCTION MACHINE (SERVICE?),PE3 LAB,PE3,,,SUS
161147,207232,LIGHTING FINAL FUNCTION MACHINE,EL2F27,PE3,,,SUS
16115,10373E,DESTACKER CONVEYOR MACHINE,EL2C9,PE3,,,SUS
16116,10373E,DESTACKER CONVEYOR MACHINE,EL2C10,PE3,,,SUS
161167,0,TZ3X HL FT-PO LH HEAT STAKE FIXTURE,EL2F33,PE3,,,SUS
161168,0,TZ3X HL FT-PO RH HEAT STAKE FIXTURE,EL2F33,PE3,,,SUS
16117,205526,LASER MARKER MACHINE,EL2C9,PE3,,,SUS
161170,10594E,HEAT STAKE MACHINE,EL2F33,PE3,,,SUS
161171,0,LIGHTING FINAL FUNCTION MACHINE,EL2F33,PE3,,,SUS
161172,208998,TZ3X HL FT-PO LED CHECK FIXTURE LH,EL2F33,PE3,,,SUS
161173,208998,TZ3X HL FT-PO LED CHECK FIXTURE RH,EL2F33,PE3,,,SUS
161174,0,TZ3X HL FT-PO LH FPC PRESS FIXTURE (SPARE),EL2F33,PE3,,,SUS
161175,0,TZ3X HL FT-PO LH FPC PRESS FIXTURE (MAIN),EL2F33,PE3,,,SUS
161176,0,TZ3X HL FT-PO RH FPC PRESS FIXTURE (SPARE),EL2F33,PE3,,,SUS
161177,0,TZ3X HL FT-PO RH FPC PRESS FIXTURE (MAIN),EL2F33,PE3,,,SUS
161178,10516E,FPC SEPARATION PRESS MACHINE,EL2F33,PE3,,,SUS
16118,205526,LASER MARKER MACHINE,EL2C10,PE3,,,SUS
161181,0,SEALANT CURE MACHINE,EL2F17,PE3,,,SUS
161182,0,LCD SET MACHINE,EL2F17,PE3,,,SUS
16119,10373E,FIFO BUFFER CONVEYOR MACHINE,EL2C9,PE3,,,SUS
16120,10373E,FIFO BUFFER CONVEYOR MACHINE,EL2C10,PE3,,,SUS
16121,10373E,LINE UNLOADER CONVEYOR MACHINE,EL2C9,PE3,,,SUS
16122,10373E,LINE UNLOADER CONVEYOR MACHINE,EL2C10,PE3,,,SUS
16123,10373E,INVERTER CONVEYOR MACHINE,EL2C9,PE3,,,SUS
16124,10373E,INVERTER CONVEYOR MACHINE,EL2C10,PE3,,,SUS
16125,10373E,TRAVERSE CONVEYOR MACHINE,EL2C9,PE3,,,SUS
16126,10373E,TRAVERSE CONVEYOR MACHINE,EL2C10,PE3,,,SUS
16127,10373E,SINGLE MAG UNLOADER CONVEYOR MACHINE,EL2C9,PE3,,,SUS
16128,10373E,SINGLE MAG UNLOADER CONVEYOR MACHINE,EL2C10,PE3,,,SUS
16129,10373E,500MM LINK CONVEYOR MACHINE,EL2C9,PE3,,,SUS
16130,10373E,500MM LINK CONVEYOR MACHINE,EL2C10,PE3,,,SUS
16131,10373E,500MM LINK CONVEYOR MACHINE,EL2C9,PE3,,,SUS
16132,10373E,500MM LINK CONVEYOR MACHINE,EL2C10,PE3,,,SUS
16133,10373E,500MM LINK CONVEYOR MACHINE,EL2C9,PE3,,,SUS
16134,10373E,500MM LINK CONVEYOR MACHINE,EL2C10,PE3,,,SUS
16135,10373E,500MM LINK CONVEYOR MACHINE,EL2C9,PE3,,,SUS
16136,10373E,500MM LINK CONVEYOR MACHINE,EL2SBO-1,PE3,,,SUS
16137,10373E,500MM LINK CONVEYOR MACHINE,EL2C9,PE3,,,SUS
16138,10373E,500MM LINK CONVEYOR MACHINE,EL2C10,PE3,,,SUS
16139,10373E,500MM LINK CONVEYOR MACHINE,EL2C9,PE3,,,SUS
16140,10373E,500MM LINK CONVEYOR MACHINE,EL2C10,PE3,,,SUS
16141,10373E,500MM LINK   CONVEYOR MACHINE,EL2C6,PE3,,,SUS
16142,10373E,500MM LINK CONVEYOR MACHINE,EL2C5,PE3,,,SUS
16165,10365E/205402,AUTOCELL LIGHTING FINAL FUNCTION MACHINE,EL2C11,PE3,,,SUS
16185,205716,PCB ROUTER MACHINE,EL2F18,PE3,,,SUS
16186,205716,PCB ROUTER MACHINE,EL2F8,PE3,,,SUS
16187,205653,PCB ROUTER MACHINE,EL2F12,PE3,,,SUS
16189,205717,ICT MACHINE,EL2F12,PE3,,,SUS
16430,209024,NPM CALIBRATION JIG SET,PE3 LAB,PE3,,,SUS
16431,205492,SPG PRINTER MACHINE,EL2C10,PE3,,,SUS
16432,205719,OMRON VT-S730 AOI SYSTEM MACHNIE,EL2C5,PE3,,,SUS
16433,205491,CM CALIBRATION JIG SET,PE3 LAB,PE3,,,SUS
16517,0,LINKING CONVEYOR MACHINE,EL2C5,PE3,,,SUS
16518,0,LINKING CONVEYOR MACHINE,EL2C5,PE3,,,SUS
16519,0,LINKING CONVEYOR MACHINE,EL2C5,PE3,,,SUS
16520,0,LINKING CONVEYOR MACHINE,EL2C4,PE3,,,SUS
16521,0,LINKING CONVEYOR MACHINE,EL2C6,PE3,,,SUS
16522,0,LINKING CONVEYOR MACHINE,EL2C6,PE3,,,SUS
16523,0,LINKING CONVEYOR MACHINE,EL2C4,PE3,,,SUS
16544,0,BOARD CLEANER MACHINE,EL2C10,PE3,,,SUS
16545,0,BOARD CLEANER MACHINE,EL2C9,PE3,,,SUS
16566,205527,ICT MACHINE,EL2F11,PE3,,,SUS
16569,205716,PCB ROUTER MACHINE,EL2F11,PE3,,,SUS
16615,0,HS FINAL FUNCTION MACHINE 1,EL2F19,PE3,,,SUS
16616,0,TLAA HS CPU CASE ASSY FIXTURE,EL2F19,PE3,,,SUS
16696,0,TLAA HS CPU SOLDER FIXTURE 4,EL2F19,PE3,,,SUS
16697,11001,TLAA HS CPU FINAL FUNCTION FIXTURE #2,EL2F19,PE3,,,SUS
16698,11001,TLAA HS CPU FINAL FUNCTION FIXTURE #1,EL2F19,PE3,,,SUS
16699,11001,TLAA HS CPU FINAL FUNCTION FIXTURE #3,EL2F19,PE3,,,SUS
